"empnum2","team2","date","score1","score2","flag1","flag2"
10001,"Team X",2021-06-01,113.565674171563,8,0,"Yes"
10001,"Team X",2021-06-08,112.75604903102,7,0,"No"
10001,"Team X",2021-06-15,112.339917718744,6,0,"Yes"
10001,"Team X",2021-06-22,114.753857627456,4,0,"Yes"
10001,"Team X",2021-06-29,115.141206004826,3,0,"Yes"
10001,"Team X",2021-07-06,114.866905064839,4,0,"Yes"
10001,"Team X",2021-07-13,114.823911911463,5,1,"Yes"
10001,"Team X",2021-07-20,117.055347900186,4,0,"Yes"
10001,"Team X",2021-07-27,117.325764979108,5,0,"Yes"
10001,"Team X",2021-08-03,114.052464534915,4,0,"Yes"
10001,"Team X",2021-08-10,115.074966776295,8,0,"Yes"
10001,"Team X",2021-08-17,115.674600977369,4,0,"Yes"
10001,"Team X",2021-08-24,114.593276896279,9,0,"Yes"
10001,"Team X",2021-08-31,114.981872134004,6,0,"Yes"
10001,"Team X",2021-09-07,115.725267181411,5,0,"Yes"
10001,"Team X",2021-09-14,116.023293563018,6,0,"Yes"
10001,"Team X",2021-09-21,115.518521799856,7,0,"Yes"
10001,"Team X",2021-09-28,116.434126312177,3,0,"Yes"
10001,"Team X",2021-10-05,117.590576889403,1,0,"Yes"
10001,"Team X",2021-10-12,117.103263592022,8,0,"Yes"
10001,"Team X",2021-10-19,120.792214652802,4,0,"Yes"
10001,"Team X",2021-10-26,119.61453317819,7,0,"Yes"
10002,"Team M",2021-06-01,110.365259982943,7,0,"Yes"
10002,"Team M",2021-06-08,112.205621112802,2,0,"Yes"
10002,"Team M",2021-06-15,114.474419342413,12,0,"No"
10002,"Team M",2021-06-22,114.427793284513,0,0,"Yes"
10002,"Team M",2021-06-29,114.497645804317,4,0,"Yes"
10002,"Team M",2021-07-06,114.68629988531,4,0,"Yes"
10002,"Team M",2021-07-13,114.371929550596,5,0,"Yes"
10002,"Team M",2021-07-20,117.097888049335,4,0,"Yes"
10002,"Team M",2021-07-27,112.420670452556,1,0,"No"
10002,"Team M",2021-08-03,115.082224429494,5,0,"No"
10002,"Team M",2021-08-10,115.215066903819,5,0,"No"
10002,"Team M",2021-08-17,116.029812655809,9,0,"No"
10002,"Team M",2021-08-24,116.013588091567,5,0,"Yes"
10002,"Team M",2021-08-31,114.540841331036,6,0,"Yes"
10002,"Team M",2021-09-07,115.659087129759,5,0,"Yes"
10002,"Team M",2021-09-14,116.864886491579,3,1,"Yes"
10002,"Team M",2021-09-21,115.114319644221,5,0,"Yes"
10002,"Team M",2021-09-28,116.365104446863,8,0,"Yes"
10002,"Team M",2021-10-05,116.236694892928,2,0,"No"
10002,"Team M",2021-10-12,117.04845465154,3,0,"Yes"
10002,"Team M",2021-10-19,118.708834335538,1,0,"Yes"
